epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,754.783,0.85097,0.77799,1.01019,0.67443,0.61315,0.6121,0.40351,1.09188,1.13533,1.15698,0.000497634,0.000497634,0.000497634
124,761.33,0.84723,0.75552,1.00785,0.67546,0.61158,0.62547,0.40397,1.12318,1.12622,1.17928,0.000494885,0.000494885,0.000494885
125,767.304,0.86222,0.77462,1.01222,0.70037,0.6258,0.61723,0.39946,1.09943,1.13234,1.16721,0.000492136,0.000492136,0.000492136
126,774.021,0.83305,0.74975,1.00632,0.78941,0.56157,0.6145,0.4045,1.10987,1.12512,1.16615,0.000489387,0.000489387,0.000489387
127,780.275,0.8273,0.74648,1.00549,0.73463,0.62149,0.63792,0.41155,1.11919,1.05956,1.18763,0.000486639,0.000486639,0.000486639
128,787.097,0.85326,0.74927,1.0202,0.67463,0.6267,0.62573,0.40384,1.12231,1.07593,1.18785,0.00048389,0.00048389,0.00048389
129,793.127,0.83247,0.75138,1.01073,0.74409,0.55898,0.6169,0.39865,1.1246,1.10231,1.19139,0.000481141,0.000481141,0.000481141
130,799.778,0.83456,0.73662,1.00094,0.68283,0.62347,0.62747,0.41722,1.10727,1.12201,1.16655,0.000478392,0.000478392,0.000478392
131,806.258,0.86562,0.78945,1.02361,0.65458,0.60813,0.61045,0.40324,1.12453,1.10467,1.18017,0.000475643,0.000475643,0.000475643
132,811.139,0.8334,0.77785,1.00773,0.70456,0.62551,0.62758,0.41107,1.11952,1.08417,1.19509,0.000472894,0.000472894,0.000472894
133,816.578,0.81631,0.7153,0.99365,0.70566,0.61443,0.63848,0.41757,1.09981,1.13193,1.16553,0.000470145,0.000470145,0.000470145
134,823.097,0.83835,0.74847,0.99979,0.66808,0.6216,0.62621,0.41251,1.09917,1.07838,1.16661,0.000467396,0.000467396,0.000467396
135,829.288,0.83452,0.71614,1.00319,0.69607,0.63463,0.62803,0.41438,1.10251,1.08339,1.16398,0.000464647,0.000464647,0.000464647
136,835.475,0.83043,0.7278,0.99399,0.64943,0.62004,0.62115,0.399,1.12142,1.11627,1.19764,0.000461898,0.000461898,0.000461898
137,840.525,0.82331,0.72488,0.99743,0.68084,0.6191,0.62166,0.40491,1.12182,1.10081,1.17425,0.00045915,0.00045915,0.00045915
138,845.512,0.82026,0.74441,0.9863,0.66708,0.60031,0.60713,0.39784,1.0932,1.12292,1.14991,0.000456401,0.000456401,0.000456401
139,850.486,0.85909,0.7337,1.02562,0.62788,0.63901,0.60941,0.3962,1.10244,1.12697,1.17651,0.000453652,0.000453652,0.000453652
140,855.998,0.82507,0.73364,1.00075,0.59782,0.64604,0.60032,0.3938,1.10554,1.16662,1.17532,0.000450903,0.000450903,0.000450903
141,861.862,0.8387,0.71807,1.00336,0.71634,0.59322,0.62358,0.40994,1.09841,1.0978,1.17411,0.000448154,0.000448154,0.000448154
142,867.848,0.8112,0.68732,0.99085,0.69427,0.62059,0.62507,0.40696,1.10934,1.09155,1.1879,0.000445405,0.000445405,0.000445405
143,874.483,0.81485,0.74375,0.99038,0.68082,0.63409,0.62099,0.40382,1.09567,1.08839,1.16953,0.000442656,0.000442656,0.000442656
144,880.65,0.80959,0.71531,1.00326,0.66727,0.63977,0.6241,0.40334,1.10787,1.09222,1.17594,0.000439907,0.000439907,0.000439907
145,886.616,0.82467,0.72371,0.99374,0.66572,0.63111,0.62573,0.41321,1.07633,1.07341,1.15732,0.000437158,0.000437158,0.000437158
146,892.343,0.80562,0.70966,0.9942,0.65934,0.64361,0.62182,0.40304,1.10637,1.10199,1.17895,0.000434409,0.000434409,0.000434409
147,898.281,0.79077,0.73091,0.97994,0.63354,0.64605,0.62747,0.41014,1.10899,1.1051,1.17004,0.000431661,0.000431661,0.000431661
148,904.263,0.804,0.70869,0.9956,0.68674,0.65735,0.63622,0.41813,1.11365,1.07009,1.18233,0.000428912,0.000428912,0.000428912
149,910.358,0.83021,0.72042,1.00125,0.65156,0.62109,0.61528,0.40708,1.1004,1.12374,1.16434,0.000426163,0.000426163,0.000426163
150,916.203,0.81307,0.71147,0.99892,0.61923,0.60522,0.61478,0.41024,1.09388,1.10811,1.16353,0.000423414,0.000423414,0.000423414
151,922.05,0.81673,0.71696,0.9878,0.62236,0.66065,0.62522,0.4145,1.08685,1.08741,1.15749,0.000420665,0.000420665,0.000420665
152,927.919,0.79622,0.68039,0.98554,0.62853,0.63171,0.61607,0.40484,1.11852,1.11923,1.186,0.000417916,0.000417916,0.000417916
153,933.59,0.80119,0.70469,0.99231,0.63547,0.60818,0.61351,0.40569,1.10648,1.14939,1.17815,0.000415167,0.000415167,0.000415167
154,939.01,0.79676,0.71242,1.00126,0.67432,0.60375,0.61663,0.41234,1.11152,1.13586,1.1742,0.000412418,0.000412418,0.000412418
155,944.858,0.78868,0.68363,0.97544,0.67148,0.63233,0.62612,0.41108,1.10307,1.08137,1.17175,0.000409669,0.000409669,0.000409669
156,951.01,0.80028,0.69844,0.98767,0.64111,0.62154,0.62673,0.40663,1.10461,1.13327,1.1777,0.00040692,0.00040692,0.00040692
157,956.815,0.79095,0.69304,0.98676,0.70163,0.58328,0.61963,0.40555,1.0964,1.07284,1.17465,0.000404172,0.000404172,0.000404172
158,962.79,0.81135,0.71779,1.00285,0.66845,0.64492,0.63042,0.40605,1.09991,1.09153,1.17061,0.000401423,0.000401423,0.000401423
159,968.31,0.78453,0.67567,0.97749,0.66366,0.63465,0.62078,0.39221,1.11863,1.09987,1.18447,0.000398674,0.000398674,0.000398674
160,973.307,0.79222,0.68261,0.98901,0.64153,0.64986,0.6287,0.41218,1.10694,1.10029,1.16687,0.000395925,0.000395925,0.000395925
161,978.766,0.79265,0.6845,0.98675,0.68688,0.63126,0.63874,0.41466,1.10044,1.0781,1.16825,0.000393176,0.000393176,0.000393176
162,985.041,0.77989,0.68856,0.9823,0.6604,0.649,0.63991,0.417,1.09966,1.05003,1.17323,0.000390427,0.000390427,0.000390427
163,991.27,0.77554,0.70467,0.97675,0.68757,0.65101,0.64383,0.40848,1.11736,1.0575,1.20031,0.000387678,0.000387678,0.000387678
164,996.892,0.79276,0.68081,0.98493,0.64983,0.63824,0.62545,0.40218,1.12245,1.10073,1.1991,0.000384929,0.000384929,0.000384929
165,1003.18,0.78584,0.67877,0.9805,0.67795,0.63381,0.62681,0.39977,1.1254,1.11627,1.20476,0.00038218,0.00038218,0.00038218
166,1009.43,0.77312,0.6827,0.98504,0.64227,0.6575,0.63975,0.41182,1.12197,1.0827,1.20347,0.000379431,0.000379431,0.000379431
167,1015.5,0.77155,0.65867,0.96862,0.68868,0.65487,0.64314,0.41969,1.10243,1.05691,1.18276,0.000376683,0.000376683,0.000376683
168,1022,0.79517,0.66818,0.99181,0.71578,0.62421,0.6364,0.41551,1.10723,1.08529,1.18032,0.000373934,0.000373934,0.000373934
169,1028.15,0.78722,0.68001,0.97994,0.67181,0.65154,0.63504,0.40807,1.12082,1.09163,1.19567,0.000371185,0.000371185,0.000371185
170,1034.26,0.78383,0.66479,0.98955,0.64691,0.67004,0.62954,0.41304,1.11208,1.09597,1.18736,0.000368436,0.000368436,0.000368436
171,1040.5,0.77513,0.68853,0.9877,0.65024,0.65796,0.63568,0.40714,1.11561,1.09402,1.19398,0.000365687,0.000365687,0.000365687
172,1046.86,0.76988,0.65774,0.97736,0.70856,0.62008,0.62689,0.40648,1.11409,1.1024,1.1836,0.000362938,0.000362938,0.000362938
173,1053.19,0.79416,0.66846,0.98467,0.65199,0.64049,0.62155,0.39815,1.13707,1.12523,1.21671,0.000360189,0.000360189,0.000360189
174,1059.37,0.77918,0.66509,0.97953,0.68527,0.6335,0.63814,0.41481,1.12358,1.09142,1.19311,0.00035744,0.00035744,0.00035744
175,1065.46,0.76545,0.66324,0.97485,0.68172,0.63773,0.63784,0.42102,1.09022,1.07032,1.16348,0.000354691,0.000354691,0.000354691
176,1072.2,0.75533,0.64043,0.9737,0.67305,0.64203,0.6392,0.41173,1.10655,1.1028,1.18231,0.000351942,0.000351942,0.000351942
177,1078.46,0.75786,0.65383,0.97678,0.64446,0.63751,0.62291,0.4141,1.09532,1.09731,1.16761,0.000349194,0.000349194,0.000349194
178,1085.09,0.75375,0.64977,0.97619,0.67276,0.66476,0.64027,0.41928,1.08776,1.07596,1.17564,0.000346445,0.000346445,0.000346445
179,1091.51,0.75405,0.65678,0.9676,0.67222,0.61635,0.6208,0.40534,1.10047,1.11269,1.18292,0.000343696,0.000343696,0.000343696
180,1097.4,0.76511,0.66918,0.96901,0.68016,0.64073,0.62155,0.40318,1.12323,1.12544,1.18943,0.000340947,0.000340947,0.000340947
181,1103.39,0.76306,0.69089,0.97643,0.62839,0.66709,0.62566,0.40921,1.11049,1.1183,1.18592,0.000338198,0.000338198,0.000338198
182,1109.24,0.7635,0.65075,0.97579,0.62129,0.64369,0.62433,0.41198,1.09134,1.06043,1.17247,0.000335449,0.000335449,0.000335449
183,1115.04,0.7652,0.63883,0.98082,0.67369,0.65359,0.61993,0.40469,1.09961,1.09449,1.1801,0.0003327,0.0003327,0.0003327
184,1121.02,0.7707,0.65681,0.98412,0.68046,0.63894,0.63556,0.41731,1.09408,1.08487,1.17552,0.000329951,0.000329951,0.000329951
