epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,460.277,2.31851,1.66313,1.17663,0.6244,0.27373,0.26068,0.09677,2.12391,1.71136,1.09745,0.0093862,0.0093862,0.0093862
64,467.692,2.35194,1.7185,1.17955,0.82518,0.28951,0.29939,0.11974,2.11691,1.50999,1.07543,0.0093763,0.0093763,0.0093763
65,475.093,2.3396,1.7175,1.16511,0.58953,0.28342,0.27284,0.11451,2.23577,1.40859,1.10251,0.0093664,0.0093664,0.0093664
66,482.409,2.31324,1.64225,1.15502,0.43781,0.30851,0.27305,0.11329,2.14449,1.55578,1.10109,0.0093565,0.0093565,0.0093565
67,489.847,2.33561,1.70601,1.17802,0.42064,0.252,0.24673,0.10059,2.10182,1.6106,1.07725,0.0093466,0.0093466,0.0093466
68,497.201,2.26775,1.6729,1.16057,0.51521,0.30412,0.29336,0.11788,2.06133,1.43581,1.09998,0.0093367,0.0093367,0.0093367
69,504.551,2.28052,1.65274,1.17008,0.64859,0.27369,0.27647,0.11805,2.20936,1.55449,1.12438,0.0093268,0.0093268,0.0093268
70,511.899,2.31074,1.68705,1.14557,0.56256,0.26514,0.25182,0.11274,2.07947,1.55619,1.08709,0.0093169,0.0093169,0.0093169
71,519.37,2.25276,1.62246,1.1806,0.4766,0.27376,0.25545,0.1112,2.17512,1.61676,1.12438,0.009307,0.009307,0.009307
72,526.724,2.2206,1.57295,1.16794,0.69121,0.30966,0.31282,0.13351,2.00833,1.36773,1.07521,0.0092971,0.0092971,0.0092971
73,534.152,2.26344,1.58853,1.1392,0.36501,0.2469,0.27288,0.11453,2.31336,1.35008,1.13748,0.0092872,0.0092872,0.0092872
74,541.557,2.20492,1.61504,1.15124,0.38067,0.25652,0.28744,0.12412,2.13792,1.45668,1.09311,0.0092773,0.0092773,0.0092773
75,548.942,2.28567,1.63092,1.15879,0.68293,0.26076,0.29624,0.11622,2.04377,1.60062,1.07344,0.0092674,0.0092674,0.0092674
76,556.313,2.29591,1.65677,1.15882,0.40774,0.25214,0.28155,0.11853,2.11564,1.41612,1.07503,0.0092575,0.0092575,0.0092575
77,563.693,2.29395,1.61171,1.14693,0.47477,0.27811,0.29071,0.12024,2.25932,1.40094,1.09762,0.0092476,0.0092476,0.0092476
78,570.875,2.2614,1.60561,1.14746,0.32359,0.25652,0.27078,0.12152,2.08727,1.79152,1.06581,0.0092377,0.0092377,0.0092377
79,576.896,2.2305,1.58155,1.13335,0.56824,0.24775,0.28184,0.11645,1.91374,1.59054,1.03598,0.0092278,0.0092278,0.0092278
80,581.848,2.20646,1.60438,1.13508,0.46126,0.30851,0.28843,0.1293,2.02565,1.46394,1.05321,0.0092179,0.0092179,0.0092179
81,586.807,2.20666,1.55118,1.13267,0.64796,0.2825,0.31244,0.13538,2.01657,1.46102,1.04144,0.009208,0.009208,0.009208
82,591.836,2.17938,1.55242,1.14687,0.483,0.28688,0.27527,0.1046,2.13855,1.6848,1.04928,0.0091981,0.0091981,0.0091981
83,596.815,2.25655,1.63891,1.13272,0.6806,0.29805,0.30697,0.12455,2.1083,1.41595,1.03259,0.0091882,0.0091882,0.0091882
84,601.788,2.23101,1.56118,1.14705,0.29519,0.26087,0.27067,0.12606,2.00412,1.39177,1.02591,0.0091783,0.0091783,0.0091783
85,606.777,2.16889,1.49553,1.13295,0.72987,0.28684,0.30181,0.12229,1.95428,1.4303,1.03854,0.0091684,0.0091684,0.0091684
86,613.949,2.18224,1.52983,1.15473,0.60458,0.28681,0.30218,0.13076,2.00971,1.41404,1.04473,0.0091585,0.0091585,0.0091585
87,621.147,2.20374,1.58871,1.14479,0.44691,0.29558,0.30598,0.12995,2.14774,1.48327,1.11522,0.0091486,0.0091486,0.0091486
88,628.299,2.20993,1.51963,1.15544,0.51015,0.29119,0.28056,0.13233,2.00742,1.71798,1.09711,0.0091387,0.0091387,0.0091387
89,635.459,2.21452,1.58222,1.15519,0.50694,0.3172,0.30222,0.13518,1.83606,1.51296,1.03664,0.0091288,0.0091288,0.0091288
90,642.645,2.21217,1.51186,1.11884,0.62683,0.31589,0.29328,0.11316,2.19992,1.3877,1.11999,0.0091189,0.0091189,0.0091189
91,649.835,2.16384,1.4835,1.14087,0.83202,0.28349,0.31123,0.14432,2.04133,1.34885,1.09187,0.009109,0.009109,0.009109
92,656.993,2.20545,1.53813,1.14438,0.52945,0.3202,0.337,0.14241,2.14804,1.31985,1.05881,0.0090991,0.0090991,0.0090991
93,664.152,2.13728,1.51727,1.13142,0.61104,0.31274,0.29228,0.12943,1.98291,1.373,1.0378,0.0090892,0.0090892,0.0090892
94,671.261,2.18695,1.5653,1.13411,0.54322,0.3018,0.29248,0.12616,1.88163,1.33617,1.03299,0.0090793,0.0090793,0.0090793
95,678.404,2.20572,1.54353,1.15157,0.59522,0.29104,0.31464,0.13746,1.94651,1.258,1.03792,0.0090694,0.0090694,0.0090694
96,685.541,2.13946,1.48695,1.14021,0.54963,0.29799,0.31453,0.1287,2.05054,1.50038,1.08368,0.0090595,0.0090595,0.0090595
97,692.709,2.23315,1.54664,1.12998,0.59445,0.29543,0.31565,0.13724,1.86716,1.31275,1.01076,0.0090496,0.0090496,0.0090496
98,699.859,2.13305,1.48672,1.10323,0.46671,0.32946,0.31928,0.13199,1.91558,1.46521,1.01731,0.0090397,0.0090397,0.0090397
99,707.042,2.14537,1.51579,1.1195,0.5103,0.29546,0.31562,0.1436,2.05162,1.46309,1.02916,0.0090298,0.0090298,0.0090298
100,714.44,2.22111,1.57039,1.15189,0.68373,0.29914,0.33087,0.14908,1.89801,1.47132,1.01597,0.0090199,0.0090199,0.0090199
101,721.759,2.08833,1.47457,1.10356,0.50257,0.31286,0.29826,0.14483,1.97169,1.3297,1.06058,0.00901,0.00901,0.00901
102,729.192,2.12181,1.44235,1.09065,0.57721,0.30964,0.31513,0.13824,1.94133,1.44349,1.06568,0.0090001,0.0090001,0.0090001
103,736.54,2.12889,1.44183,1.11451,0.57423,0.30409,0.32015,0.14296,1.93055,1.28092,1.04752,0.0089902,0.0089902,0.0089902
104,743.91,2.15776,1.48992,1.10285,0.71666,0.30361,0.32502,0.13284,1.79345,1.46636,1.02909,0.0089803,0.0089803,0.0089803
105,751.291,2.1335,1.47249,1.1349,0.79541,0.31649,0.33101,0.13726,1.82737,1.30228,1.02601,0.0089704,0.0089704,0.0089704
106,758.664,2.16156,1.41094,1.11303,0.43069,0.33615,0.30094,0.13239,1.98338,1.65546,1.049,0.0089605,0.0089605,0.0089605
107,766.047,2.13103,1.42758,1.09429,0.79793,0.26815,0.31674,0.14494,1.89834,1.34705,1.01872,0.0089506,0.0089506,0.0089506
108,773.227,2.1044,1.44935,1.10397,0.50203,0.34322,0.34235,0.13481,1.97348,1.46895,1.04109,0.0089407,0.0089407,0.0089407
